"","Aries","Taurus","Gemini","Cancer","Leo","Virgo","Libra","Scorpio","Sagittarius","Capricorn","Aquarius","Pisces"
"Love",3,4,4,4,2,3,2,3,3,4,4,3
"Finance",2,3,3,4,2,3,4,4,3,3,4,4
"Career",2,4,3,2,2,3,4,4,2,3,3,4
