"","Aries","Taurus","Gemini","Cancer","Leo","Virgo","Libra","Scorpio","Sagittarius","Capricorn","Aquarius","Pisces"
"Love",3,3.5,2.5,3,3,3.5,2.5,4,4,4.5,4,3.5
"Finance",3,3.5,3.5,3.5,3,3.5,3,3.5,3.5,3,3.5,3.5
"Career",2.5,4,3,3,3,3.5,3.5,4,2.5,3.5,2.5,3.5
